# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = bernoulli_2.data.R
# init = 2 (Default)
# random
#   seed = 2242482272
# output
#   file = bernoulli_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1,theta2
# Adaptation terminated
# Step size = 0.401316
# Diagonal elements of inverse mass matrix:
# 1.72816, 2.17571
-9.77957,0.964355,0.401316,2,7,0,10.2555,0.177945,0.389406
-9.40669,0.994659,0.401316,2,7,0,10.1333,0.367791,0.212458
-10.5631,0.79873,0.401316,3,7,0,11.9751,0.388226,0.0638318
-10.8671,0.977707,0.401316,1,3,0,11.7052,0.570299,0.0400972
-9.51448,0.834284,0.401316,2,7,0,12.7479,0.233048,0.338694
-9.58199,0.979408,0.401316,3,11,0,9.72296,0.208113,0.251604
-9.39316,0.934547,0.401316,2,5,0,10.0768,0.366222,0.226162
-9.43006,0.967873,0.401316,2,3,0,9.65088,0.362326,0.199474
-10.7738,0.867687,0.401316,3,7,0,11.0642,0.192611,0.124816
-10.3018,1,0.401316,2,3,0,10.7516,0.200091,0.153802
-9.62972,0.992796,0.401316,2,5,0,10.5611,0.315791,0.168744
-9.78962,0.926798,0.401316,2,3,0,11.0134,0.470991,0.119351
-10.3193,0.922548,0.401316,2,3,0,10.546,0.582972,0.109088
-10.2531,1,0.401316,3,7,0,10.4147,0.123456,0.442746
-10.0958,0.797367,0.401316,3,15,0,13.7633,0.415449,0.0871772
-9.57097,0.969399,0.401316,2,3,0,10.3489,0.452307,0.184422
-10.36,0.77295,0.401316,2,7,0,12.2617,0.218528,0.483914
-9.60472,0.996117,0.401316,3,15,0,10.4672,0.224382,0.365319
-9.61419,0.997568,0.401316,2,7,0,9.86305,0.454263,0.1573
-11.6574,0.940704,0.401316,3,7,0,12.9576,0.137323,0.593313
-10.1039,1,0.401316,3,7,0,11.9146,0.227055,0.453042
-9.44726,1,0.401316,2,3,0,10.1567,0.271984,0.321071
-9.40972,0.970347,0.401316,3,7,0,9.95767,0.345026,0.210929
-9.501,0.994099,0.401316,2,3,0,9.50281,0.413647,0.245099
-9.45005,0.997469,0.401316,2,5,0,9.64925,0.355739,0.289142
-10.0131,0.839093,0.401316,2,5,0,11.0659,0.109133,0.293674
-10.5459,0.913311,0.401316,2,3,0,10.6571,0.104938,0.197662
-11.1532,0.991713,0.401316,3,11,0,11.5797,0.376082,0.0425172
-11.323,0.924507,0.401316,3,7,0,12.678,0.632356,0.035783
-10.8875,1,0.401316,1,1,0,11.2709,0.588051,0.0430669
-14.1558,0.693573,0.401316,3,15,0,14.7787,0.318943,0.00586893
-12.6591,0.99124,0.401316,3,15,0,14.6329,0.725319,0.0273114
-11.6613,0.980222,0.401316,2,3,0,13.2395,0.519767,0.0158584
-11.2667,0.98753,0.401316,3,11,0,11.9946,0.0431561,0.214529
-10.3523,0.579234,0.401316,3,11,0,12.6398,0.318454,0.453138
-9.94439,0.852883,0.401316,2,7,0,12.0512,0.513277,0.108783
-10.117,0.976131,0.401316,3,7,0,10.4251,0.0940644,0.336275
-10.0943,0.998763,0.401316,2,3,0,10.1988,0.0971681,0.308804
-10.9344,0.769178,0.401316,1,3,0,12.1657,0.179117,0.540648
-10.7414,1,0.401316,1,1,0,11.1581,0.187848,0.52342
-11.988,0.984988,0.401316,3,7,0,12.0741,0.0407467,0.157546
-11.6333,1,0.401316,2,3,0,12.0167,0.0395831,0.185924
-11.859,0.988331,0.401316,3,11,0,13.7209,0.414766,0.0188166
-12.172,1,0.401316,2,3,0,12.3076,0.642874,0.0145443
-10.4654,0.881092,0.401316,2,3,0,13.0257,0.377716,0.0717731
-11.4284,0.863603,0.401316,2,3,0,11.6512,0.66499,0.152448
-11.3712,1,0.401316,2,3,0,11.6673,0.271223,0.0658642
-11.7964,1,0.401316,2,3,0,12.186,0.699018,0.106303
-12.0938,0.940857,0.401316,1,1,0,12.5897,0.715837,0.0968994
-9.8255,0.939386,0.401316,2,3,0,12.6522,0.421195,0.112646
-9.85291,1,0.401316,3,7,0,9.87615,0.435621,0.107852
-9.56423,0.997727,0.401316,3,7,0,10.3973,0.411868,0.157237
-10.1484,0.907576,0.401316,2,3,0,10.5239,0.489653,0.0767802
-9.91119,0.894472,0.401316,3,7,0,11.9744,0.186991,0.420768
-9.81223,0.978324,0.401316,2,3,0,10.2577,0.135604,0.312238
-9.82749,1,0.401316,2,3,0,9.83847,0.1328,0.321024
-9.38729,0.911084,0.401316,2,5,0,10.4989,0.341724,0.268808
-9.75776,0.974191,0.401316,3,7,0,10.0096,0.182074,0.386591
-9.9486,0.927419,0.401316,2,7,0,10.514,0.523858,0.117091
-9.73256,0.9949,0.401316,2,3,0,10.0076,0.465246,0.129003
-10.375,0.82305,0.401316,2,3,0,11.1481,0.587683,0.151228
-11.2654,0.722318,0.401316,3,7,0,12.3366,0.298858,0.0603564
-12.6019,0.945525,0.401316,2,3,0,12.6262,0.220195,0.0473353
-11.9227,1,0.401316,2,3,0,12.8546,0.703404,0.114863
-11.7909,1,0.401316,1,1,0,12.4424,0.697078,0.113514
-10.4887,1,0.401316,2,3,0,11.6068,0.332415,0.0844289
-10.9967,0.929027,0.401316,2,3,0,12.564,0.625695,0.052534
-10.7977,0.900112,0.401316,2,3,0,11.9334,0.334105,0.0680211
-11.257,0.977281,0.401316,2,3,0,11.4537,0.667419,0.104704
-10.017,0.976775,0.401316,2,7,0,11.9929,0.206496,0.177165
